Month,Region,AvgDemandMW,MaxDemandMW,PeakEvents,DREvents,MAE,Hours
2023-01,Central,755.2524183006535,1144.58,15,24,24.834589041095892,153
2023-01,East,735.9506106870228,1069.03,11,19,21.481328124999997,131
2023-01,North,733.2622012578616,1038.59,9,22,19.78605263157895,159
2023-01,South,745.4969014084506,1127.03,11,22,25.69611510791367,142
2023-01,West,746.2558490566038,1140.05,13,19,24.48452229299363,159
2023-02,Central,730.6334558823529,1119.35,8,17,26.170150375939855,136
2023-02,East,743.9427586206897,1215.32,13,17,23.517655172413782,145
2023-02,North,769.5589583333334,1146.81,18,31,21.4048905109489,144
2023-02,South,747.2499253731344,1043.82,16,19,26.06712121212122,134
2023-02,West,737.7941592920355,1059.05,6,28,24.911607142857154,113
2023-03,Central,756.7380794701986,1126.72,21,16,22.452162162162164,151
2023-03,East,738.726953125,1091.35,11,19,23.626406250000002,128
2023-03,North,756.5550349650349,1049.66,14,23,24.384927536231892,143
2023-03,South,757.5370440251572,1071.24,16,17,24.92339743589744,159
2023-03,West,747.8922699386503,1027.57,15,18,21.219499999999996,163
2023-04,Central,739.9360689655172,1050.75,12,18,22.245454545454546,145
2023-04,East,749.9500724637682,1079.88,16,15,22.879555555555555,138
2023-04,North,757.0083687943262,1180.85,10,21,24.652753623188403,141
2023-04,South,733.2378461538461,1096.4,11,21,22.803643410852715,130
2023-04,West,755.6600602409638,1065.32,20,22,24.205460122699385,166
2023-05,Central,762.0394267515924,1362.72,23,28,23.634407894736842,157
2023-05,East,750.9071523178808,1183.48,19,21,23.837770270270276,151
2023-05,North,757.4576821192053,1064.18,16,23,25.851258278145696,151
2023-05,South,744.2803703703704,1089.4,11,18,22.576230769230765,135
2023-05,West,760.4601333333334,1182.33,18,22,22.598206896551726,150
2023-06,Central,733.9628666666666,1028.6,7,12,24.66387755102041,150
2023-06,East,751.0223899371069,1081.18,20,22,23.681538461538462,159
2023-06,North,751.1646405228759,1178.29,15,27,23.198513513513518,153
2023-06,South,742.5409701492538,1048.78,9,18,24.237099236641217,134
2023-06,West,768.2879838709678,1166.72,16,16,23.762295081967217,124
2023-07,Central,752.4828758169934,1298.25,13,22,24.40288590604027,153
2023-07,East,756.8093835616438,1123.26,17,17,22.7585,146
2023-07,North,758.6574637681159,1097.82,16,20,25.147835820895526,138
2023-07,South,746.8969798657718,1109.6,17,16,22.998601398601398,149
2023-07,West,768.0086075949367,1114.02,21,23,23.892866242038217,158
2023-08,Central,764.3712328767123,1060.41,19,24,24.56291666666666,146
2023-08,East,750.2194444444444,1083.45,12,21,22.79371794871795,162
2023-08,North,750.3871428571429,1095.88,17,18,23.833985507246386,140
2023-08,South,746.534255319149,1100.51,9,22,21.31340579710145,141
2023-08,West,752.8502580645161,1091.8,20,27,25.214133333333336,155
2023-09,Central,728.5702702702703,1088.99,13,20,27.366126760563372,148
2023-09,East,745.1016379310345,1045.47,11,17,24.355398230088493,116
2023-09,North,740.680354609929,1143.52,11,16,21.57255474452555,141
2023-09,South,765.1567032967032,1106.23,20,24,24.011325966850826,182
2023-09,West,777.1552631578946,1105.91,16,17,25.784341085271308,133
2023-10,Central,759.3375324675325,1324.82,18,26,22.371513157894736,154
2023-10,East,753.1163970588235,1026.59,12,19,22.398571428571426,136
2023-10,North,741.4328472222222,1022.21,20,21,22.366993006993003,144
2023-10,South,757.33175,1196.21,20,23,23.184064516129023,160
2023-10,West,728.0936666666666,1139.12,12,22,23.11876712328768,150
2023-11,Central,741.1797101449275,1101.7,18,22,24.072919708029204,138
2023-11,East,729.4753333333333,1085.96,13,22,26.30046666666666,150
2023-11,North,768.2156834532374,1162.12,16,26,22.434511278195487,139
2023-11,South,755.052375,1122.7,19,27,22.49375796178344,160
2023-11,West,741.7856390977444,1050.58,10,24,21.049393939393934,133
2023-12,Central,745.3487857142858,1099.11,11,17,22.327037037037034,140
2023-12,East,748.064776119403,1092.08,15,23,22.340387596899227,134
2023-12,North,761.8967701863354,1214.69,14,18,24.263443708609266,161
2023-12,South,750.8334782608696,1160.41,17,23,24.232687499999997,161
2023-12,West,754.3552027027027,1203.54,16,14,24.366575342465755,148
2024-01,Central,742.5897163120567,1066.74,9,18,24.955255474452557,141
2024-01,East,742.2151773049645,1083.49,11,15,24.093529411764706,141
2024-01,North,755.904043715847,1160.12,14,24,22.329606741573034,183
2024-01,South,726.9651034482758,1138.2,10,17,21.382907801418437,145
2024-01,West,741.1627611940298,1186.17,11,17,24.33689393939394,134
2024-02,Central,773.4133793103448,1108.19,16,27,24.956573426573428,145
2024-02,East,736.9672027972027,1084.51,11,17,24.708857142857145,143
2024-02,North,754.8334693877551,1067.92,13,19,25.265931034482755,147
2024-02,South,728.2458778625954,1138.46,10,21,21.646124031007748,131
2024-02,West,740.6953846153846,1119.41,14,17,24.30906976744186,130
2024-03,Central,760.6436781609195,1134.32,17,29,22.936994219653172,174
2024-03,East,731.7687261146497,1125.82,14,25,24.75233333333333,157
2024-03,North,750.0599212598426,1041.07,9,18,24.23606299212599,127
2024-03,South,760.5479285714287,1116.52,17,17,23.798248175182486,140
2024-03,West,746.5889726027398,1080.72,20,21,23.524652777777778,146
2024-04,Central,769.1967532467532,1138.11,17,24,23.929605263157896,154
2024-04,East,738.8908461538462,1094.77,13,30,22.232635658914727,130
2024-04,North,750.8816312056738,1056.53,16,20,22.43602836879433,141
2024-04,South,737.1888148148148,1079.16,13,23,26.08581395348837,135
2024-04,West,750.3405,1139.35,21,23,25.314240506329106,160
2024-05,Central,777.8385625,1281.84,16,15,26.681225806451607,160
2024-05,East,754.7750364963504,1015.22,12,30,25.604705882352942,137
2024-05,North,753.7068309859154,1103.57,17,18,24.110070422535205,142
2024-05,South,772.7389743589744,1289.11,21,24,21.347402597402603,156
2024-05,West,755.0185906040268,1159.3,7,18,25.17141891891892,149
2024-06,Central,758.4532846715329,1152.03,21,22,24.267862595419846,137
2024-06,East,756.1472794117647,1152.4,12,9,23.727593984962414,136
2024-06,North,739.1798630136987,1062.63,12,21,27.048472222222223,146
2024-06,South,749.7083561643835,1083.89,19,25,23.00150684931507,146
2024-06,West,751.9386451612903,1115.61,13,25,22.534220779220778,155
2024-07,Central,744.8144927536232,1167.79,16,19,26.540296296296304,138
2024-07,East,758.6245714285715,1099.37,16,18,23.535895522388053,140
2024-07,North,760.3447297297298,1102.65,16,21,23.7608843537415,148
2024-07,South,733.6421951219512,1051.11,13,22,24.84222222222222,164
2024-07,West,759.6251298701299,1099.72,13,29,22.74902597402597,154
2024-08,Central,744.2193548387097,1217.07,11,17,24.516912751677854,155
2024-08,East,748.5267142857143,1077.37,19,21,22.758970588235297,140
2024-08,North,746.7835507246377,1084.99,8,32,23.12992647058823,138
2024-08,South,732.9650314465409,1086.42,8,22,26.439102564102566,159
2024-08,West,764.3529605263158,1148.11,21,27,21.505167785234892,152
2024-09,Central,714.6493288590603,1072.23,10,21,24.655273972602746,149
