EventID,Region,CustomerType,PeakDemandBeforeMW,PeakDemandAfterMW,DemandReductionMW,ProgramCost,cpm,quartile,CostPerMW,EfficiencyQuartile,ReductionPct
1,Central,Commercial,922.98,816.55,106.43,21282.99,199.9717185004228,Q2,199.97,Q2,11.53
2,East,Commercial,1401.01,1251.01,150.0,68134.13,454.2275333333334,Q3,454.23,Q3,10.71
3,East,Industrial,1585.9,1504.69,81.21,85760.7,1056.0362024381234,Q4 (worst),1056.04,Q4 worst,5.12
4,South,Commercial,807.5,759.98,47.52,59118.84,1244.0833333333333,Q4 (worst),1244.08,Q4 worst,5.88
5,South,Commercial,1462.46,1266.77,195.69,67188.6,343.34202054269514,Q3,343.34,Q3,13.38
6,West,Residential,505.1,453.56,51.54,9263.76,179.73923166472645,Q2,179.74,Q2,10.2
7,West,Residential,2135.92,1796.22,339.7,6107.64,17.979511333529587,Q1 (best),17.98,Q1 best,15.9
8,Central,Industrial,2231.8,1802.97,428.83,69339.55,161.69472751439966,Q1 (best),161.69,Q1 best,19.21
9,South,Residential,1455.44,1275.96,179.48,66173.78,368.69723646088704,Q3,368.7,Q3,12.33
10,North,Residential,1405.98,1295.96,110.02,80636.32,732.9241956008,Q4 (worst),732.92,Q4 worst,7.83
11,West,Residential,1798.21,1610.73,187.48,82208.69,438.4931192660551,Q3,438.49,Q3,10.43
12,North,Commercial,1334.99,1207.94,127.05,64571.54,508.2372294372295,Q3,508.24,Q3,9.52
13,North,Industrial,787.25,652.45,134.8,47355.88,351.3047477744807,Q3,351.3,Q3,17.12
14,South,Residential,2294.87,2211.63,83.24,55138.06,662.3986064392119,Q4 (worst),662.4,Q4 worst,3.63
15,North,Industrial,2087.27,1939.72,147.55,91944.58,623.1418502202642,Q3,623.14,Q3,7.07
16,Central,Industrial,2409.3,2297.56,111.74,18425.56,164.89672453910867,Q1 (best),164.9,Q1 best,4.64
17,East,Residential,1198.36,1140.98,57.38,58247.69,1015.1218194492855,Q4 (worst),1015.12,Q4 worst,4.79
18,South,Residential,1131.09,992.1,138.99,42536.07,306.0369091301532,Q2,306.04,Q2,12.29
19,North,Commercial,2163.07,2044.24,118.83,34685.33,291.8903475553312,Q2,291.89,Q2,5.49
20,East,Commercial,2419.03,2133.29,285.74,66481.56,232.6645201931826,Q2,232.66,Q2,11.81
21,South,Commercial,1892.39,1692.63,199.76,35228.71,176.35517621145374,Q2,176.36,Q2,10.56
22,North,Commercial,1613.06,1417.67,195.39,38188.06,195.44531449920672,Q2,195.45,Q2,12.11
23,North,Industrial,1919.47,1584.92,334.55,56378.08,168.51914512031087,Q1 (best),168.52,Q1 best,17.43
24,West,Industrial,921.4,856.71,64.69,23166.3,358.11253671355695,Q3,358.11,Q3,7.02
25,South,Industrial,684.35,570.83,113.52,72768.62,641.020260747005,Q3,641.02,Q3,16.59
26,North,Residential,797.35,780.05,17.3,37878.28,2189.4959537572254,Q4 (worst),2189.5,Q4 worst,2.17
27,West,Commercial,634.29,620.38,13.91,73360.81,5273.961897915169,Q4 (worst),5273.96,Q4 worst,2.19
28,Central,Industrial,1382.36,1267.71,114.65,49797.64,434.34487570867856,Q3,434.34,Q3,8.29
29,West,Commercial,1461.57,1266.1,195.47,81566.92,417.2861308640712,Q3,417.29,Q3,13.37
30,South,Industrial,1935.62,1809.25,126.37,29346.8,232.22916831526467,Q2,232.23,Q2,6.53
31,Central,Industrial,1864.64,1558.64,306.0,91337.82,298.48960784313726,Q2,298.49,Q2,16.41
32,Central,Commercial,1109.06,979.4,129.66,94531.67,729.0734999228753,Q4 (worst),729.07,Q4 worst,11.69
33,Central,Residential,2130.94,2085.01,45.93,49413.54,1075.8445460483345,Q4 (worst),1075.84,Q4 worst,2.16
34,North,Commercial,1366.72,1165.53,201.19,94368.61,469.0521894726378,Q3,469.05,Q3,14.72
35,West,Industrial,1560.66,1333.64,227.02,61148.21,269.35164302704607,Q2,269.35,Q2,14.55
36,East,Industrial,1240.05,1018.62,221.43,91948.76,415.2497854852549,Q3,415.25,Q3,17.86
37,West,Commercial,1090.26,1040.17,50.09,52507.09,1048.254941106009,Q4 (worst),1048.25,Q4 worst,4.59
38,South,Residential,1528.47,1384.31,144.16,63058.98,437.4235571587126,Q3,437.42,Q3,9.43
39,South,Commercial,1265.34,1163.28,102.06,50624.29,496.0247893396041,Q3,496.02,Q3,8.07
40,East,Industrial,1715.92,1531.19,184.73,42659.02,230.92632490662047,Q2,230.93,Q2,10.77
41,Central,Commercial,1643.7,1481.9,161.8,58333.75,360.5299752781211,Q3,360.53,Q3,9.84
42,East,Industrial,1734.74,1517.77,216.97,92426.09,425.98557404249436,Q3,425.99,Q3,12.51
43,South,Residential,1081.99,1032.87,49.12,60738.81,1236.5392915309446,Q4 (worst),1236.54,Q4 worst,4.54
44,South,Industrial,2264.49,2032.11,232.38,82763.07,356.1540149754712,Q3,356.15,Q3,10.26
45,North,Industrial,2405.8,2234.5,171.3,44808.66,261.5800350262697,Q2,261.58,Q2,7.12
46,North,Commercial,1100.06,1062.29,37.77,73753.88,1952.710616891713,Q4 (worst),1952.71,Q4 worst,3.43
47,East,Commercial,1473.56,1356.57,116.99,71350.23,609.8831524061885,Q3,609.88,Q3,7.94
48,Central,Commercial,2489.28,2000.04,489.24,95526.65,195.25519172594227,Q2,195.26,Q2,19.65
49,Central,Industrial,1353.3,1317.57,35.73,54728.11,1531.7131262244613,Q4 (worst),1531.71,Q4 worst,2.64
50,Central,Industrial,516.45,491.38,25.07,52538.65,2095.6781013163145,Q4 (worst),2095.68,Q4 worst,4.85
51,Central,Commercial,589.14,486.33,102.81,35654.19,346.7969069156697,Q3,346.8,Q3,17.45
52,East,Commercial,2161.27,2087.84,73.43,67422.6,918.188751191611,Q4 (worst),918.19,Q4 worst,3.4
53,Central,Residential,649.78,578.55,71.23,67673.04,950.0637371893863,Q4 (worst),950.06,Q4 worst,10.96
54,North,Commercial,1277.89,1113.83,164.06,95085.65,579.578507862977,Q3,579.58,Q3,12.84
55,West,Residential,2353.28,2112.28,241.0,43988.82,182.52622406639003,Q2,182.53,Q2,10.24
56,West,Residential,1325.49,1155.11,170.38,33073.57,194.11650428454044,Q2,194.12,Q2,12.85
57,Central,Residential,1044.85,973.28,71.57,79523.39,1111.1274276931676,Q4 (worst),1111.13,Q4 worst,6.85
58,West,Residential,1486.91,1223.47,263.44,83802.31,318.1077664743395,Q2,318.11,Q2,17.72
59,North,Residential,996.44,851.37,145.07,19385.59,133.6292134831461,Q1 (best),133.63,Q1 best,14.56
60,South,Residential,1751.21,1707.62,43.59,43278.13,992.845377380133,Q4 (worst),992.85,Q4 worst,2.49
61,East,Residential,1677.5,1396.12,281.38,76110.25,270.4891961049115,Q2,270.49,Q2,16.77
62,Central,Industrial,2264.11,2116.18,147.93,99733.82,674.196038666937,Q4 (worst),674.2,Q4 worst,6.53
63,West,Commercial,1344.43,1251.84,92.59,80554.05,870.0081002268064,Q4 (worst),870.01,Q4 worst,6.89
64,Central,Residential,2496.72,2289.31,207.41,95516.59,460.52065956318404,Q3,460.52,Q3,8.31
65,North,Commercial,1968.89,1880.42,88.47,13975.73,157.9714027353905,Q1 (best),157.97,Q1 best,4.49
66,Central,Residential,937.25,750.89,186.36,71456.91,383.434803605924,Q3,383.43,Q3,19.88
67,Central,Commercial,1000.32,806.74,193.58,95055.59,491.0403450769707,Q3,491.04,Q3,19.35
68,South,Residential,980.45,948.99,31.46,56190.07,1786.0797838525111,Q4 (worst),1786.08,Q4 worst,3.21
69,North,Industrial,774.92,691.93,82.99,40925.72,493.14037835883846,Q3,493.14,Q3,10.71
70,East,Residential,1224.88,1067.28,157.6,82627.85,524.2883883248732,Q3,524.29,Q3,12.87
71,Central,Residential,579.6,523.38,56.22,32125.91,571.4320526503024,Q3,571.43,Q3,9.7
72,West,Industrial,1942.38,1788.92,153.46,7383.37,48.11266779616838,Q1 (best),48.11,Q1 best,7.9
