SubstationID,Region,InfrastructureAgeYears,CapacityMW,CurrentUtilizationPct,AnnualMaintenanceCost,OutagesLast5Years,ProjectedLoadGrowthPct,RiskScore,RiskTier,UtilizationBand,PriorityRank
1000,North,51,424,77.4,178539.35,1,11.3,69.22,Elevated,70-85%,35
1001,West,48,1233,85.42,118989.35,1,2.03,51.89,Moderate,85-90%,274
1002,Central,21,785,54.22,157614.48,1,9.46,46.59,Moderate,Under 70%,358
1003,East,10,692,51.93,759667.47,2,6.16,37.9,Low,Under 70%,452
1004,South,37,818,57.0,478036.52,8,7.05,70.0,Critical,Under 70%,31
1005,Central,48,1347,50.62,211378.64,3,8.24,59.87,Elevated,Under 70%,149
1006,South,42,1072,77.16,100737.69,2,2.37,50.69,Moderate,70-85%,294
1007,Central,34,634,101.0,105684.63,4,8.64,73.18,Critical,Over 100%,16
1008,South,52,1308,81.7,656394.77,7,0.43,67.17,Elevated,70-85%,55
1009,East,6,516,63.65,375942.58,3,5.66,41.82,Moderate,Under 70%,414
1010,South,49,1068,86.86,542691.96,0,7.1,59.86,Elevated,85-90%,150
1011,North,47,1231,55.7,656407.62,2,10.68,62.87,Elevated,Under 70%,94
1012,Central,4,1488,92.23,379238.35,2,8.52,52.31,Moderate,90-100%,266
1013,South,4,1109,92.56,251454.13,6,4.65,56.67,Elevated,90-100%,203
1014,North,13,881,91.01,663282.82,2,3.05,44.6,Moderate,90-100%,387
1015,West,33,1178,103.07,97261.39,4,8.93,73.98,Critical,Over 100%,13
1016,Central,48,1261,68.39,318999.72,6,8.67,75.06,Critical,Under 70%,11
1017,North,40,435,47.61,414944.86,1,6.99,47.26,Moderate,Under 70%,349
1018,North,38,448,68.48,601012.38,3,6.48,57.7,Elevated,Under 70%,183
1019,North,20,416,67.37,926776.16,5,6.07,55.35,Elevated,Under 70%,223
1020,East,8,754,74.0,485972.18,3,11.21,56.82,Elevated,70-85%,200
1021,West,6,1232,72.11,572328.93,0,1.63,27.29,Low,70-85%,498
1022,East,39,933,61.11,786564.24,2,2.54,45.01,Moderate,Under 70%,382
1023,South,40,757,63.41,932295.23,3,6.69,57.4,Elevated,Under 70%,190
1024,North,9,1234,77.98,143827.69,8,11.25,73.49,Critical,70-85%,14
1025,West,39,807,80.82,799720.18,4,3.1,58.05,Elevated,70-85%,178
1026,South,21,1016,95.69,105365.38,1,6.07,52.25,Moderate,90-100%,270
1027,West,33,1265,102.14,553622.18,4,9.82,75.48,Critical,Over 100%,9
1028,North,26,447,54.08,136375.84,3,3.67,42.96,Moderate,Under 70%,403
1029,Central,33,430,94.65,342210.8,2,7.94,63.48,Elevated,90-100%,91
1030,West,24,765,104.49,240929.85,2,10.2,67.35,Elevated,Over 100%,54
1031,North,36,1193,84.4,391432.56,2,8.12,61.96,Elevated,70-85%,106
1032,East,14,632,90.25,439923.47,4,8.19,61.05,Elevated,90-100%,119
1033,Central,52,824,72.74,417026.56,5,7.11,71.84,Critical,70-85%,21
1034,North,32,760,95.02,304799.77,0,3.23,47.77,Moderate,90-100%,340
1035,North,28,1025,72.24,292523.24,4,2.1,49.07,Moderate,70-85%,312
1036,South,38,754,92.43,529255.75,3,0.69,53.31,Moderate,90-100%,248
1037,Central,51,1032,55.74,136123.78,3,11.02,68.16,Elevated,Under 70%,43
1038,West,53,870,92.58,715313.88,3,9.85,77.67,Critical,90-100%,5
1039,West,36,1390,58.88,941642.61,1,3.06,41.18,Moderate,Under 70%,425
1040,East,30,1442,80.34,556301.14,4,7.26,62.62,Elevated,70-85%,99
1041,West,46,683,68.02,73979.33,7,1.03,61.87,Elevated,Under 70%,109
1042,Central,37,969,75.32,62725.36,1,8.31,57.02,Elevated,70-85%,196
1043,South,46,730,49.1,730994.22,2,0.65,40.43,Moderate,Under 70%,431
1044,Central,27,500,52.73,312307.08,4,7.2,53.02,Moderate,Under 70%,252
1045,West,2,326,81.7,288669.55,2,0.09,31.49,Low,70-85%,487
1046,West,19,1273,91.07,894139.46,1,6.22,50.36,Moderate,90-100%,298
1047,East,30,1107,48.78,998796.48,3,4.66,44.95,Moderate,Under 70%,383
1048,North,26,1450,65.64,501471.46,1,9.24,51.57,Moderate,Under 70%,281
1049,South,51,1146,73.93,404884.63,3,9.88,71.34,Critical,70-85%,23
1050,West,5,352,92.78,426972.33,4,11.22,64.27,Elevated,90-100%,79
1051,North,1,1207,82.89,711996.83,3,11.32,56.91,Elevated,70-85%,198
1052,North,15,827,89.36,279095.93,0,9.36,51.53,Moderate,85-90%,282
1053,Central,13,495,93.08,544070.51,4,7.78,60.68,Elevated,90-100%,129
1054,West,20,746,52.67,615645.36,1,8.65,44.1,Moderate,Under 70%,397
1055,West,38,310,72.25,719290.64,3,4.63,55.14,Elevated,70-85%,226
1056,East,14,584,92.35,447051.73,0,1.17,35.64,Low,90-100%,471
1057,East,26,1433,96.96,455852.74,2,0.43,46.35,Moderate,90-100%,364
1058,West,46,1243,59.07,730067.12,1,10.37,59.86,Elevated,Under 70%,150
1059,Central,15,352,56.45,147371.04,2,6.56,42.06,Moderate,Under 70%,412
1060,South,43,307,49.34,326409.31,1,1.25,37.5,Low,Under 70%,457
1061,Central,1,708,68.36,288911.15,6,3.99,46.89,Moderate,Under 70%,351
1062,West,12,1075,90.4,92799.06,0,3.91,39.74,Low,90-100%,436
1063,East,14,871,80.07,460364.66,2,7.69,51.0,Moderate,70-85%,290
1064,West,16,452,59.16,875586.99,2,0.99,32.13,Low,Under 70%,485
1065,South,53,1116,45.17,237067.23,2,9.03,58.81,Elevated,Under 70%,166
1066,East,54,612,91.12,535770.5,3,2.09,62.12,Elevated,90-100%,104
1067,West,38,892,72.48,859894.11,2,10.43,63.8,Elevated,70-85%,86
1068,North,1,1379,93.36,194054.16,0,9.75,47.91,Moderate,90-100%,336
1069,South,37,749,82.48,563427.71,3,3.83,56.2,Elevated,70-85%,214
1070,South,3,786,68.8,872079.82,4,9.23,52.3,Moderate,Under 70%,267
1071,Central,18,1019,74.0,592844.23,1,7.23,46.86,Moderate,70-85%,352
1072,Central,51,584,88.59,988311.55,4,6.89,72.76,Critical,85-90%,19
1073,East,48,1120,75.77,570161.42,1,0.69,46.31,Moderate,70-85%,366
1074,West,44,1458,81.31,459926.72,2,2.37,52.73,Moderate,70-85%,255
1075,West,19,783,49.8,889636.35,4,5.51,45.56,Moderate,Under 70%,375
1076,South,4,968,53.59,895392.67,5,0.91,34.5,Low,Under 70%,476
1077,East,52,303,63.43,933130.4,1,11.88,66.59,Elevated,Under 70%,60
1078,North,39,797,69.94,650634.19,2,10.52,63.62,Elevated,Under 70%,89
1079,North,18,372,54.23,796138.9,3,8.86,50.19,Moderate,Under 70%,301
1080,South,30,688,47.66,77641.16,4,11.89,62.08,Elevated,Under 70%,105
1081,South,46,673,84.49,613258.4,1,8.16,63.07,Elevated,70-85%,92
1082,Central,38,1232,91.03,599515.65,2,3.13,54.77,Moderate,90-100%,233
1083,West,1,920,52.86,633044.86,2,3.87,30.0,Low,Under 70%,493
1084,North,16,1086,101.75,958777.63,2,8.05,59.02,Elevated,Over 100%,164
1085,North,17,792,80.08,902200.19,3,1.4,42.62,Moderate,70-85%,408
1086,Central,43,818,65.23,747957.04,2,2.57,47.91,Moderate,Under 70%,336
1087,West,31,1305,75.15,957498.29,0,9.54,54.02,Moderate,70-85%,239
1088,East,36,1281,52.35,472013.41,3,0.97,41.04,Moderate,Under 70%,426
1089,South,36,625,61.21,661146.11,2,3.63,46.02,Moderate,Under 70%,369
1090,North,8,611,77.49,600099.13,0,8.97,44.39,Moderate,70-85%,391
1091,West,3,477,62.11,502304.74,1,5.81,34.45,Low,Under 70%,477
1092,North,4,1421,59.15,390550.38,6,7.61,52.56,Moderate,Under 70%,259
1093,Central,47,358,93.0,267350.46,1,8.97,67.64,Elevated,90-100%,50
1094,West,27,818,70.69,130275.95,1,9.34,53.69,Moderate,70-85%,245
1095,North,23,831,65.58,206540.99,1,10.55,52.97,Moderate,Under 70%,253
1096,South,22,1190,61.52,950374.76,5,0.06,42.38,Moderate,Under 70%,410
1097,North,36,467,60.29,180011.74,2,10.36,59.21,Elevated,Under 70%,160
1098,North,14,905,80.41,976641.3,2,8.01,51.74,Moderate,70-85%,277
1099,North,36,592,76.55,334862.11,1,1.63,43.62,Moderate,70-85%,400
1100,Central,33,707,54.61,578209.0,5,3.93,52.44,Moderate,Under 70%,261
1101,West,11,1126,66.87,170396.75,4,3.01,42.48,Moderate,Under 70%,409
1102,Central,54,365,87.58,726395.97,1,4.85,60.57,Elevated,85-90%,133
1103,South,47,440,69.79,649657.91,8,9.86,83.46,Critical,Under 70%,1
1104,East,2,762,77.68,160652.26,5,8.65,56.4,Elevated,70-85%,210
1105,East,52,1162,47.89,898618.27,0,6.54,48.25,Moderate,Under 70%,326
1106,East,3,1259,55.03,994918.37,2,1.73,27.17,Low,Under 70%,499
1107,North,45,1489,88.54,333908.21,3,11.39,76.34,Critical,85-90%,7
1108,North,52,1377,98.84,989035.68,2,0.89,58.23,Elevated,90-100%,175
1109,South,22,1114,65.44,188752.41,0,4.96,38.35,Low,Under 70%,447
1110,South,39,807,89.66,732613.13,5,6.37,70.24,Critical,85-90%,29
1111,South,29,1135,45.76,987192.99,2,3.12,37.57,Low,Under 70%,454
1112,North,5,1101,102.7,327967.13,0,4.25,41.31,Moderate,Over 100%,421
1113,West,17,1457,88.22,210775.43,4,6.99,59.25,Elevated,85-90%,159
1114,South,50,683,103.8,208706.09,3,3.33,66.8,Elevated,Over 100%,58
1115,Central,47,511,80.22,833258.16,3,8.71,69.29,Elevated,70-85%,34
1116,East,28,1371,68.71,204279.18,2,3.49,44.79,Moderate,Under 70%,385
1117,West,54,568,59.04,662214.91,2,4.77,54.85,Moderate,Under 70%,231
1118,East,30,1184,65.26,325443.16,1,10.82,56.22,Elevated,Under 70%,213
1119,East,44,708,79.82,391994.01,2,0.2,47.95,Moderate,70-85%,334
1120,Central,26,551,86.52,162069.94,1,8.92,57.2,Elevated,85-90%,193
1121,East,53,1007,54.36,662879.56,1,10.0,60.51,Elevated,Under 70%,135
1122,West,20,858,59.83,575556.28,2,5.55,43.05,Moderate,Under 70%,402
1123,North,10,742,57.17,235101.62,1,4.37,32.89,Low,Under 70%,484
1124,Central,22,873,83.58,204602.75,4,3.39,52.65,Moderate,70-85%,256
1125,North,29,1457,99.31,886533.74,2,7.54,62.47,Elevated,90-100%,102
1126,North,18,1478,57.0,108943.05,6,8.62,59.54,Elevated,Under 70%,154
1127,West,41,551,89.26,535526.39,2,8.35,65.88,Elevated,85-90%,65
1128,North,3,398,72.58,58576.61,5,1.76,41.49,Moderate,70-85%,419
1129,North,40,560,79.42,741574.88,3,6.42,61.67,Elevated,70-85%,112
1130,East,24,888,57.32,617165.5,2,11.9,56.6,Elevated,Under 70%,205
1131,West,39,347,76.87,566766.76,1,4.17,50.0,Moderate,70-85%,303
1132,North,12,1444,54.79,465382.83,2,2.95,33.14,Low,Under 70%,483
1133,Central,37,1068,91.14,306566.57,1,8.73,62.6,Elevated,90-100%,100
1134,West,33,1345,68.66,347435.54,2,3.31,46.42,Moderate,Under 70%,362
1135,Central,11,991,49.11,354151.15,4,9.33,49.79,Moderate,Under 70%,305
1136,Central,23,760,69.72,243447.64,2,0.46,37.04,Low,Under 70%,460
1137,West,28,1365,52.47,971028.54,2,3.29,39.52,Low,Under 70%,437
1138,East,16,554,80.33,776874.07,3,5.38,50.26,Moderate,70-85%,300
1139,North,40,1282,65.65,802688.28,2,4.8,51.3,Moderate,Under 70%,287
1140,North,50,1308,95.72,589153.55,4,4.19,69.1,Elevated,90-100%,36
1141,East,3,790,98.88,514394.04,0,1.93,34.72,Low,90-100%,475
1142,South,5,1398,87.16,880211.37,3,4.79,46.73,Moderate,85-90%,355
1143,East,39,692,45.22,652956.48,2,8.0,51.17,Moderate,Under 70%,288
1144,Central,3,675,100.9,150006.38,4,10.44,64.35,Elevated,Over 100%,78
1145,South,13,1478,46.36,944769.0,2,3.0,31.11,Low,Under 70%,490
1146,West,30,1278,80.86,529787.74,2,0.98,44.22,Moderate,70-85%,394
1147,North,32,1204,48.47,928369.16,4,0.67,40.68,Moderate,Under 70%,430
1148,South,3,662,66.69,637444.05,0,10.06,41.33,Moderate,Under 70%,420
1149,West,47,1276,78.43,520000.61,2,10.06,68.45,Elevated,70-85%,40
1150,North,1,396,58.51,626489.23,3,6.04,39.03,Low,Under 70%,441
1151,East,43,1352,53.07,965809.86,2,8.03,55.18,Elevated,Under 70%,225
1152,Central,24,1279,91.78,524242.57,4,9.54,68.21,Elevated,90-100%,42
1153,East,19,773,54.74,511473.49,0,2.73,29.48,Low,Under 70%,495
1154,North,47,656,54.05,753883.96,5,10.19,70.4,Critical,Under 70%,27
1155,East,30,1333,86.05,339276.57,6,0.81,57.43,Elevated,85-90%,189
1156,East,15,478,50.49,841271.51,2,8.5,44.15,Moderate,Under 70%,395
1157,East,13,1344,57.83,343307.84,5,4.24,46.03,Moderate,Under 70%,368
1158,North,42,733,93.32,294262.66,4,8.17,73.14,Critical,90-100%,17
1159,North,1,403,70.14,985399.94,2,10.59,48.62,Moderate,70-85%,318
1160,Central,21,697,50.72,893633.08,4,0.81,37.24,Low,Under 70%,458
1161,West,38,1073,103.31,996215.03,2,5.65,63.49,Elevated,Over 100%,90
1162,East,44,1004,58.15,787149.74,2,3.89,48.82,Moderate,Under 70%,315
1163,North,51,921,67.85,475485.79,5,6.55,68.85,Elevated,Under 70%,38
1164,North,26,997,73.04,199497.9,0,5.01,42.33,Moderate,70-85%,411
1165,North,25,745,79.86,69967.58,2,9.13,58.22,Elevated,70-85%,176
1166,North,54,819,71.68,308668.6,2,6.57,62.24,Elevated,70-85%,103
1167,Central,52,709,89.06,255244.08,1,8.53,67.58,Elevated,85-90%,51
1168,South,10,707,49.09,352110.85,2,5.03,34.79,Low,Under 70%,474
1169,Central,53,1302,100.83,760036.68,5,2.74,71.93,Critical,Over 100%,20
1170,South,44,318,85.52,126158.37,3,1.77,55.8,Elevated,85-90%,220
1171,North,13,788,78.49,649881.53,2,5.42,45.59,Moderate,70-85%,374
