EventID,Region,CustomerType,PeakDemandBeforeMW,PeakDemandAfterMW,DemandReductionMW,ProgramCost
1,Central,Commercial,922.98,816.55,106.43,21282.99
2,East,Commercial,1401.01,1251.01,150,68134.13
3,East,Industrial,1585.9,1504.69,81.21,85760.7
4,South,Commercial,807.5,759.98,47.52,59118.84
5,South,Commercial,1462.46,1266.77,195.69,67188.6
6,West,Residential,505.1,453.56,51.54,9263.76
7,West,Residential,2135.92,1796.22,339.7,6107.64
8,Central,Industrial,2231.8,1802.97,428.83,69339.55
9,South,Residential,1455.44,1275.96,179.48,66173.78
10,North,Residential,1405.98,1295.96,110.02,80636.32
11,West,Residential,1798.21,1610.73,187.48,82208.69
12,North,Commercial,1334.99,1207.94,127.05,64571.54
13,North,Industrial,787.25,652.45,134.8,47355.88
14,South,Residential,2294.87,2211.63,83.24,55138.06
15,North,Industrial,2087.27,1939.72,147.55,91944.58
16,Central,Industrial,2409.3,2297.56,111.74,18425.56
17,East,Residential,1198.36,1140.98,57.38,58247.69
18,South,Residential,1131.09,992.1,138.99,42536.07
19,North,Commercial,2163.07,2044.24,118.83,34685.33
20,East,Commercial,2419.03,2133.29,285.74,66481.56
21,South,Commercial,1892.39,1692.63,199.76,35228.71
22,North,Commercial,1613.06,1417.67,195.39,38188.06
23,North,Industrial,1919.47,1584.92,334.55,56378.08
24,West,Industrial,921.4,856.71,64.69,23166.3
25,South,Industrial,684.35,570.83,113.52,72768.62
26,North,Residential,797.35,780.05,17.3,37878.28
27,West,Commercial,634.29,620.38,13.91,73360.81
28,Central,Industrial,1382.36,1267.71,114.65,49797.64
29,West,Commercial,1461.57,1266.1,195.47,81566.92
30,South,Industrial,1935.62,1809.25,126.37,29346.8
31,Central,Industrial,1864.64,1558.64,306,91337.82
32,Central,Commercial,1109.06,979.4,129.66,94531.67
33,Central,Residential,2130.94,2085.01,45.93,49413.54
34,North,Commercial,1366.72,1165.53,201.19,94368.61
35,West,Industrial,1560.66,1333.64,227.02,61148.21
36,East,Industrial,1240.05,1018.62,221.43,91948.76
37,West,Commercial,1090.26,1040.17,50.09,52507.09
38,South,Residential,1528.47,1384.31,144.16,63058.98
39,South,Commercial,1265.34,1163.28,102.06,50624.29
40,East,Industrial,1715.92,1531.19,184.73,42659.02
41,Central,Commercial,1643.7,1481.9,161.8,58333.75
42,East,Industrial,1734.74,1517.77,216.97,92426.09
43,South,Residential,1081.99,1032.87,49.12,60738.81
44,South,Industrial,2264.49,2032.11,232.38,82763.07
45,North,Industrial,2405.8,2234.5,171.3,44808.66
46,North,Commercial,1100.06,1062.29,37.77,73753.88
47,East,Commercial,1473.56,1356.57,116.99,71350.23
48,Central,Commercial,2489.28,2000.04,489.24,95526.65
49,Central,Industrial,1353.3,1317.57,35.73,54728.11
50,Central,Industrial,516.45,491.38,25.07,52538.65
51,Central,Commercial,589.14,486.33,102.81,35654.19
52,East,Commercial,2161.27,2087.84,73.43,67422.6
53,Central,Residential,649.78,578.55,71.23,67673.04
54,North,Commercial,1277.89,1113.83,164.06,95085.65
55,West,Residential,2353.28,2112.28,241,43988.82
56,West,Residential,1325.49,1155.11,170.38,33073.57
57,Central,Residential,1044.85,973.28,71.57,79523.39
58,West,Residential,1486.91,1223.47,263.44,83802.31
59,North,Residential,996.44,851.37,145.07,19385.59
60,South,Residential,1751.21,1707.62,43.59,43278.13
61,East,Residential,1677.5,1396.12,281.38,76110.25
62,Central,Industrial,2264.11,2116.18,147.93,99733.82
63,West,Commercial,1344.43,1251.84,92.59,80554.05
64,Central,Residential,2496.72,2289.31,207.41,95516.59
65,North,Commercial,1968.89,1880.42,88.47,13975.73
66,Central,Residential,937.25,750.89,186.36,71456.91
67,Central,Commercial,1000.32,806.74,193.58,95055.59
68,South,Residential,980.45,948.99,31.46,56190.07
69,North,Industrial,774.92,691.93,82.99,40925.72
70,East,Residential,1224.88,1067.28,157.6,82627.85
71,Central,Residential,579.6,523.38,56.22,32125.91
72,West,Industrial,1942.38,1788.92,153.46,7383.37
73,South,Commercial,2495.15,2246.6,248.55,81157.15
74,East,Commercial,1211.59,1099.14,112.45,94818.95
75,West,Industrial,2442.63,2311.87,130.76,57990.09
76,West,Commercial,2299.42,2224.99,74.43,24124.22
77,West,Industrial,1306.7,1148.51,158.19,89105
78,East,Residential,1880,1734.44,145.56,53864.45
79,North,Residential,2003.91,1652.44,351.47,62755.24
80,South,Commercial,891.42,786,105.42,24330.23
81,Central,Commercial,1717.05,1650.75,66.3,97697.1
82,North,Residential,579.01,519.41,59.6,15513.54
83,North,Residential,2281.7,2137.02,144.68,20610.32
84,West,Commercial,633.53,517.47,116.06,58157.36
85,North,Industrial,2356.24,1904.15,452.09,44561.73
86,Central,Residential,2363.01,2221.99,141.02,27296.99
87,East,Commercial,2486.87,2099.14,387.73,8883.87
88,East,Industrial,2413.21,2176.91,236.3,59109.48
89,North,Industrial,954.24,849.81,104.43,81893.69
90,North,Residential,1325.19,1225.61,99.58,80136.87
91,East,Residential,2058.11,1838.21,219.9,41027.22
92,South,Residential,1800.96,1693.33,107.63,46209.89
93,East,Residential,1442.57,1272.77,169.8,19377.84
94,Central,Residential,1822.52,1575.26,247.26,60656.52
95,South,Industrial,561.45,499.51,61.94,48249.12
96,South,Industrial,1037.28,915.47,121.81,79119.27
97,North,Industrial,1168.02,944.9,223.12,94248.92
98,Central,Residential,2316.2,1883.87,432.33,41087.96
99,East,Residential,1072.61,973.47,99.14,72033.03
100,Central,Residential,785.4,637.23,148.17,7761.44
101,East,Residential,603,558.35,44.65,72977.49
102,East,Commercial,719.36,584.14,135.22,81442.37
103,South,Residential,1951.54,1757.62,193.92,57301.79
104,Central,Commercial,1881.61,1602.55,279.06,79935.29
105,Central,Commercial,1976.97,1818.33,158.64,18485.19
106,West,Residential,1622.8,1377.23,245.57,7303.9
107,South,Residential,2489.45,2087.04,402.41,12450.78
108,Central,Residential,1100.21,1023.23,76.98,89244.99
109,North,Industrial,1447.08,1305.44,141.64,21554.3
110,South,Residential,1423.64,1311.32,112.32,73537.68
111,East,Industrial,550.02,518.28,31.74,44974.6
112,West,Commercial,1862.97,1762.76,100.21,23919.9
113,Central,Commercial,1853.29,1490.14,363.15,53495.68
114,East,Commercial,1856.5,1605.31,251.19,80534.86
115,Central,Residential,559.3,496.22,63.08,59312.18
116,West,Industrial,1263.25,1020.17,243.08,33018.12
117,East,Industrial,2251.97,1959.08,292.89,98014.13
118,North,Residential,888.98,741.44,147.54,27316.86
